Title,Category,Audience,Undergraduates,Postgraduates,Researchers,Teachers,AllStaff,Labels,Blurb,url
Email,Connect,Undergraduates Postgraduates Researchers Teachers AllStaff,Undergraduates,Postgraduates,Researchers,Teachers,AllStaff,Lorum,"All staff, students and postgraduates are entitled to a University email account.",https://www.nottingham.ac.uk/it-services/connect/email/index.aspx
Wi-Fi and wired internet,Connect,Undergraduates Postgraduates Researchers Teachers AllStaff,Undergraduates,Postgraduates,Researchers,Teachers,AllStaff,Lorum; Ipsum; Label,"eduroam is the main wireless network for staff, associates and students.",https://www.nottingham.ac.uk/it-services/connect/wifi/staff-students.aspx
Printing,Devices,Undergraduates Postgraduates Researchers Teachers AllStaff,Undergraduates,Postgraduates,Researchers,Teachers,AllStaff,Lorum; Ipsum; Label,The UoN Print Service is available in all libraries and most computer rooms.,https://www.nottingham.ac.uk/it-services/computers/print/print.aspx
Office 365,Software,Undergraduates Postgraduates Researchers Teachers AllStaff,Undergraduates,Postgraduates,Researchers,Teachers,AllStaff,Lorum; Ipsum; Label,Office 365 suite of applications and productivity services for all staff and students.,https://www.nottingham.ac.uk/it-services/software/office365.aspx
Software,Software,Undergraduates Postgraduates Researchers Teachers AllStaff,Undergraduates,Postgraduates,Researchers,Teachers,AllStaff,Lorum; Ipsum; Label,"A range of up-to-date software to support staff and students in their work, studies or research.",https://www.nottingham.ac.uk/it-services/software/software.aspx
IT accounts and passwords,Connect,Undergraduates Postgraduates Researchers Teachers AllStaff,Undergraduates,Postgraduates,Researchers,Teachers,AllStaff,Lorum; Ipsum; Label,"Key information about your IT account including how to access Wi-Fi, email, make calls and work remotely on and off campus.",https://www.nottingham.ac.uk/it-services/connect/index.aspx
Working off campus,Connect,Undergraduates Postgraduates Researchers Teachers AllStaff,Undergraduates,Postgraduates,Researchers,Teachers,AllStaff,Lorum; Ipsum; Label,"Ways to access your University data, systems and applications remotely and when to use them.",https://www.nottingham.ac.uk/it-services/connect/working/index.aspx
Filestore,Data,Undergraduates Postgraduates Researchers Teachers AllStaff,Undergraduates,Postgraduates,Researchers,Teachers,AllStaff,Lorum; Ipsum; Label,"The University offers file storage solutions for students, staff and researchers.",https://www.nottingham.ac.uk/it-services/software/filestore.aspx
MyNottingham app,Connect,Undergraduates Postgraduates   ,Undergraduates,Postgraduates,,,,Lorum; Ipsum; Label,"Access to timetables, maps, programme materials and guides,  all accessible through your phone, helping you make the most of your time at University",https://www.nottingham.ac.uk/it-services/connect/apps/mynottingham.aspx
Research Information System (RIS),Research,  Researchers  AllStaff,,,Researchers,,AllStaff,Lorum; Ipsum; Label,An easy-to-use web-based system designed to decrease the administrative burden of managing the research lifecycle.,https://www.nottingham.ac.uk/it-services/research/applications/ris.aspx
Campus Solutions,Teaching,   Teachers AllStaff,,,,Teachers,AllStaff,Lorum; Ipsum; Label,Campus Solutions is used by staff to administer student records. Students also use the system (MyNottingham website) to apply to the University and update their details.,https://www.nottingham.ac.uk/it-services/connect/systems/campus-solutions.aspx
Business applications,Software,    AllStaff,,,,,AllStaff,Lorum; Ipsum; Label,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus sed arcu sapien. Integer feugiat turpis eu elit gravida, eu imperdie mi fringilla.",https://www.nottingham.ac.uk/it-services/index.aspx
