Title,Category,Audience,Undergraduates,Postgraduates,Researchers,Teachers,AllStaff,Labels,Blurb,url
Anti-virus,Software,Undergraduates Postgraduates Researchers Teachers AllStaff,Undergraduates,Postgraduates,Researchers,Teachers,AllStaff,,Sophos is the University's recommended anti-virus software,https://www.nottingham.ac.uk/it-services/software/antivirus.aspx
Associate IT accounts,Connect,  Researchers Teachers AllStaff,,,Researchers,Teachers,AllStaff,,Access to the University's IT services for those outside the HR or student record systems.,https://www.nottingham.ac.uk/it-services/connect/account/associates.aspx
Avoid phishing emails,Security,Undergraduates Postgraduates Researchers Teachers AllStaff,Undergraduates,Postgraduates,Researchers,Teachers,AllStaff,,How to spot suspicious emails and stay safe online.,https://www.nottingham.ac.uk/it-services/security/cyber/phishing-emails.aspx
Business applications,Software,    AllStaff,,,,,AllStaff,Lorum; Ipsum; Label,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus sed arcu sapien. Integer feugiat turpis eu elit gravida, eu imperdie mi fringilla.",https://www.nottingham.ac.uk/it-services/index.aspx
Buying IT equipment,Devices,  Researchers Teachers AllStaff,,,Researchers,Teachers,AllStaff,,How to buy IT equipment from University suppliers,https://www.nottingham.ac.uk/it-services/computers/buying-it-equipment.aspx
Campus IT support,Support,Undergraduates Postgraduates Researchers Teachers AllStaff,Undergraduates,Postgraduates,Researchers,Teachers,AllStaff,,Experiencing IT problems? Get help from your local Campus IT support team.,https://www.nottingham.ac.uk/it-services/help/campus.aspx
Campus Solutions,Teaching,   Teachers AllStaff,,,,Teachers,AllStaff,,Campus Solutions is used by staff to administer student records. Students also use the system (MyNottingham website) to apply to the University and update their details.,https://www.nottingham.ac.uk/it-services/connect/systems/campus-solutions.aspx
Creating strong passwords,Security,Undergraduates Postgraduates Researchers Teachers AllStaff,Undergraduates,Postgraduates,Researchers,Teachers,AllStaff,,Protect your data by setting strong passwords.,https://www.nottingham.ac.uk/it-services/security/cyber/password.aspx
Cyber safety,Security,Undergraduates Postgraduates Researchers Teachers AllStaff,Undergraduates,Postgraduates,Researchers,Teachers,AllStaff,,"Protecting the University's research data and personal information from external attacks, online fraud and information theft.",https://www.nottingham.ac.uk/it-services/security/cyber/index.aspx
Digital Research team,Research, Postgraduates Researchers  ,,Postgraduates,Researchers,,,,Helping researchers make the most of digital technologies,https://www.nottingham.ac.uk/it-services/digital/team.aspx
eduroam Wi-Fi for staff and students,Connect,Undergraduates Postgraduates Researchers Teachers AllStaff,Undergraduates,Postgraduates,Researchers,Teachers,AllStaff,,"eduroam is the main wireless network for staff, associates and students",https://www.nottingham.ac.uk/it-services/connect/wifi/staff-students.aspx
eduroam Wi-Fi for visiting academics,Connect,  Researchers Teachers AllStaff,,,Researchers,Teachers,AllStaff,,Visitors from other institutions may connect the eduroam Wi-Fi network,https://www.nottingham.ac.uk/it-services/connect/wifi/academics.aspx
Email,Connect,Undergraduates Postgraduates Researchers Teachers AllStaff,Undergraduates,Postgraduates,Researchers,Teachers,AllStaff,,"All staff, students and postgraduates are entitled to a University email account.",https://www.nottingham.ac.uk/it-services/connect/email/index.aspx
eStaff Profile,Research,  Researchers Teachers AllStaff,,,Researchers,Teachers,AllStaff,,Promote your research and publications on the University website,https://www.nottingham.ac.uk/it-services/research/applications/staff-profile.aspx
Filestore,Data,Undergraduates Postgraduates Researchers Teachers AllStaff,Undergraduates,Postgraduates,Researchers,Teachers,AllStaff,,"The University offers file storage solutions for students, staff and researchers.",https://www.nottingham.ac.uk/it-services/software/filestore.aspx
Find a PC,Devices,Undergraduates Postgraduates  Teachers ,Undergraduates,Postgraduates,,Teachers,,,Computer rooms are available to all members of the University with many open 24/7,https://www.nottingham.ac.uk/it-services/computers/pc.aspx
Gartner,Teaching,Undergraduates Postgraduates Researchers Teachers AllStaff,Undergraduates,Postgraduates,Researchers,Teachers,AllStaff,,"Discover Gartner, the world-class IT research and advisory resource",https://www.nottingham.ac.uk/it-services/teaching/learning-resources/gartner.aspx
Help and support,Help,Undergraduates Postgraduates Researchers Teachers AllStaff,Undergraduates,Postgraduates,Researchers,Teachers,AllStaff,,Who to contact for help and support with using IT services at the University,https://www.nottingham.ac.uk/it-services/help/help.aspx
High Performance Computing - National,Research, Postgraduates Researchers  ,,Postgraduates,Researchers,,,,National facilities allowing researchers to access specialist HPC centres to perform large-scale calculations and analysis,https://www.nottingham.ac.uk/it-services/research/uon-compute-service/national.aspx
High Performance Computing - Regional,Research, Postgraduates Researchers  ,,Postgraduates,Researchers,,,,Regional facilities allowing researchers to access specialist HPC centres to perform large-scale calculations and analysis.,https://www.nottingham.ac.uk/it-services/research/uon-compute-service/regional.aspx
High Performance Computing - UoN,Research, Postgraduates Researchers  AllStaff,,Postgraduates,Researchers,,AllStaff,,Augusta - Nottingham's On-Premise HPC service,https://www.nottingham.ac.uk/it-services/research/uon-compute-service/uon.aspx
HPC Midlands Plus,Research, Postgraduates Researchers  ,,Postgraduates,Researchers,,,,"Tier 2 HPC centre with a focus on Engineering and Physical Sciences, funded by EPSRC",https://www.nottingham.ac.uk/it-services/research/uon-compute-service/midlands-plus.aspx
Information security,Security,Undergraduates Postgraduates Researchers Teachers AllStaff,Undergraduates,Postgraduates,Researchers,Teachers,AllStaff,,"Information security defines access to information technology and keeps people, systems and data safe from cyber attacks.",https://www.nottingham.ac.uk/it-services/security/index.aspx
Internet access in Halls,Connect,Undergraduates    ,Undergraduates,,,,,,Connect to wired & wireless Student Network Services (SNS) in Halls,https://www.nottingham.ac.uk/it-services/connect/wifi/wired.aspx
IT Partnering,Help,  Researchers Teachers AllStaff,,,Researchers,Teachers,AllStaff,,IT Partners work with researchers to plan and delivery research bids,https://www.nottingham.ac.uk/it-services/research/partnering.aspx
IT Service Desk,Help,Undergraduates Postgraduates Researchers Teachers AllStaff,Undergraduates,Postgraduates,Researchers,Teachers,AllStaff,,Our dedicated IT Service Desk is available to help with all your IT needs,https://www.nottingham.ac.uk/it-services/help/service-desk/it-service-desk.aspx
Laptop loan and repair,Devices,Undergraduates Postgraduates   ,Undergraduates,Postgraduates,,,,,A laptop loan and repair service for personal student devices.,https://www.nottingham.ac.uk/it-services/computers/laptop-repair.aspx
Linux support,Help, Postgraduates Researchers  ,,Postgraduates,Researchers,,,,Support and guidance for researchers who use Linux as their base operating system. ,https://www.nottingham.ac.uk/it-services/research/computing/linux.aspx
Managing research data,Research, Postgraduates Researchers  ,,Postgraduates,Researchers,,,,"Our suite of services facilitate best practice in managing digital datasets by researchers at The University of Nottingham, their partners and collaborators",https://www.nottingham.ac.uk/it-services/research/data/index.aspx
Microsoft Office applications,Software,Undergraduates Postgraduates Researchers Teachers AllStaff,Undergraduates,Postgraduates,Researchers,Teachers,AllStaff,,Staff and students can download Microsoft Office free of charge on up to five devices.,https://www.nottingham.ac.uk/it-services/software/office.aspx
Microsoft Windows 7 (news?),Software,Undergraduates Postgraduates Researchers Teachers AllStaff,Undergraduates,Postgraduates,Researchers,Teachers,AllStaff,,Microsoft operating system Windows 7 end of life January 2020.,https://www.nottingham.ac.uk/it-services/software/windows.aspx
Multimedia Online Archive Service (MOAS),Research,  Researchers  ,,,Researchers,,,,A web-based archiving service that enables the storage and cataloguing of digital collections,https://www.nottingham.ac.uk/it-services/research/data/moas.aspx
MyNottingham mobile app,Teaching,Undergraduates Postgraduates  Teachers ,Undergraduates,Postgraduates,,Teachers,,,"Access to timetables, maps, programme materials and guides - all accessible through your phone - helping you make the most of your time at University",https://www.nottingham.ac.uk/it-services/connect/apps/mynottingham.aspx
MySQL database hosting,Research, Postgraduates Researchers  ,,Postgraduates,Researchers,,,,Information Services provides a central hosting service for MySQL databases,https://www.nottingham.ac.uk/it-services/research/computing/mysql.aspx
Office 365,Software,Undergraduates Postgraduates Researchers Teachers AllStaff,Undergraduates,Postgraduates,Researchers,Teachers,AllStaff,,Office 365 suite of applications and productivity services for all staff and students.,https://www.nottingham.ac.uk/it-services/software/office365.aspx
Password,Connect,Undergraduates Postgraduates Researchers Teachers AllStaff,Undergraduates,Postgraduates,Researchers,Teachers,AllStaff,,Most networked IT services use the same University password.,https://www.nottingham.ac.uk/it-services/connect/account/password.aspx
Physical server hosting,Research, Postgraduates Researchers  AllStaff,,Postgraduates,Researchers,,AllStaff,,Information Services hosts school servers in the University's primary datacentres.,https://www.nottingham.ac.uk/it-services/research/computing/server.aspx
Policies,Help,Undergraduates Postgraduates Researchers Teachers AllStaff,Undergraduates,Postgraduates,Researchers,Teachers,AllStaff,,"Our IT services and facilities are governed by policies, standards and regulations",https://www.nottingham.ac.uk/it-services/aboutus/policies.aspx
"Print, copy, scan",Devices,Undergraduates Postgraduates Researchers Teachers AllStaff,Undergraduates,Postgraduates,Researchers,Teachers,AllStaff,,The UoN Print Service is available in all libraries and most computer rooms.,https://www.nottingham.ac.uk/it-services/computers/print/print.aspx
Protect your computer,Security,Undergraduates Postgraduates Researchers Teachers AllStaff,Undergraduates,Postgraduates,Researchers,Teachers,AllStaff,,"How to avoid viruses, malware and keep your data safe.",https://www.nottingham.ac.uk/it-services/security/cyber/computer.aspx
Protect your privacy online,Security,Undergraduates Postgraduates Researchers Teachers AllStaff,Undergraduates,Postgraduates,Researchers,Teachers,AllStaff,,Find out what information you share online and how to protect your data,https://www.nottingham.ac.uk/it-services/security/cyber/privacy.aspx
